filename,width,depth,auxiliary,seed,accuracy,student_loss_teacher,student_acc_5hot
results_Hidden128_Depth2_Auxiliary3_seed0.pt,128,2,3,0,0.1953125,2.1168410778045654,0.640625
results_Hidden128_Depth2_Auxiliary3_seed1.pt,128,2,3,1,0.09375,2.312575578689575,0.546875
results_Hidden128_Depth2_Auxiliary3_seed2.pt,128,2,3,2,0.1875,2.3564884662628174,0.6015625
results_Hidden128_Depth2_Auxiliary3_seed3.pt,128,2,3,3,0.4453125,2.0383899211883545,0.7421875
results_Hidden128_Depth2_Auxiliary3_seed4.pt,128,2,3,4,0.3515625,2.1245551109313965,0.7421875
results_Hidden128_Depth2_Auxiliary10_seed0.pt,128,2,10,0,0.6484375,1.6614469289779663,0.953125
results_Hidden128_Depth2_Auxiliary10_seed1.pt,128,2,10,1,0.2890625,2.0345256328582764,0.796875
results_Hidden128_Depth2_Auxiliary10_seed2.pt,128,2,10,2,0.21875,2.0816121101379395,0.78125
results_Hidden128_Depth2_Auxiliary10_seed3.pt,128,2,10,3,0.5546875,1.610654354095459,0.90625
results_Hidden128_Depth2_Auxiliary10_seed4.pt,128,2,10,4,0.328125,1.9789743423461914,0.921875
results_Hidden128_Depth2_Auxiliary50_seed0.pt,128,2,50,0,0.8515625,0.8468612432479858,1.0
results_Hidden128_Depth2_Auxiliary50_seed1.pt,128,2,50,1,0.828125,0.7736932635307312,0.9921875
results_Hidden128_Depth2_Auxiliary50_seed2.pt,128,2,50,2,0.8828125,1.0552693605422974,0.984375
results_Hidden128_Depth2_Auxiliary50_seed3.pt,128,2,50,3,0.859375,0.9646223187446594,0.9921875
results_Hidden128_Depth2_Auxiliary50_seed4.pt,128,2,50,4,0.859375,0.8230232000350952,1.0
results_Hidden128_Depth3_Auxiliary3_seed0.pt,128,3,3,0,0.09375,2.3510425090789795,0.390625
results_Hidden128_Depth3_Auxiliary3_seed1.pt,128,3,3,1,0.28125,2.1241366863250732,0.6796875
results_Hidden128_Depth3_Auxiliary3_seed2.pt,128,3,3,2,0.2578125,2.18849778175354,0.609375
results_Hidden128_Depth3_Auxiliary3_seed3.pt,128,3,3,3,0.2265625,2.241157054901123,0.5390625
results_Hidden128_Depth3_Auxiliary3_seed4.pt,128,3,3,4,0.15625,2.23728609085083,0.53125
results_Hidden128_Depth3_Auxiliary10_seed0.pt,128,3,10,0,0.359375,1.9184648990631104,0.90625
results_Hidden128_Depth3_Auxiliary10_seed1.pt,128,3,10,1,0.359375,2.0496325492858887,0.8515625
results_Hidden128_Depth3_Auxiliary10_seed2.pt,128,3,10,2,0.46875,1.8946864604949951,0.6875
results_Hidden128_Depth3_Auxiliary50_seed0.pt,128,3,50,0,0.84375,1.1613194942474365,1.0
results_Hidden128_Depth3_Auxiliary50_seed1.pt,128,3,50,1,0.8359375,1.131056547164917,1.0
results_Hidden128_Depth3_Auxiliary50_seed2.pt,128,3,50,2,0.734375,1.1282787322998047,0.9921875
results_Hidden128_Depth3_Auxiliary100_seed0.pt,128,3,100,0,0.8671875,0.7938878536224365,1.0
results_Hidden128_Depth3_Auxiliary100_seed1.pt,128,3,100,1,0.84375,0.985284149646759,0.9921875
results_Hidden128_Depth3_Auxiliary100_seed2.pt,128,3,100,2,0.765625,1.0473335981369019,0.9921875
results_Hidden128_Depth3_Auxiliary1000_seed0.pt,128,3,1000,0,0.8671875,0.7881264090538025,1.0
results_Hidden128_Depth3_Auxiliary1000_seed1.pt,128,3,1000,1,0.859375,0.7266165614128113,0.9921875
results_Hidden128_Depth3_Auxiliary1000_seed2.pt,128,3,1000,2,0.8828125,0.7673433423042297,1.0
results_Hidden128_Depth5_Auxiliary3_seed0.pt,128,5,3,0,0.1796875,2.2493085861206055,0.5234375
results_Hidden128_Depth5_Auxiliary3_seed1.pt,128,5,3,1,0.125,2.1853713989257812,0.6796875
results_Hidden128_Depth5_Auxiliary3_seed2.pt,128,5,3,2,0.125,2.3080289363861084,0.5703125
results_Hidden128_Depth5_Auxiliary10_seed0.pt,128,5,10,0,0.1796875,2.1885905265808105,0.6328125
results_Hidden128_Depth5_Auxiliary10_seed1.pt,128,5,10,1,0.328125,2.0535054206848145,0.8203125
